Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
98,2012,Nigel Bradham,OLB,43,Florida State,College Stats,2-Jun,6'2,241,4.56,37,24,121,7.18,4.37,Buffalo Bills / 4th / 105th pick / 2012
99,2012,Emmanuel Acho,OLB,2,Texas,College Stats,2-Jun,6'2,238,4.64,35.5,24,118,,,Cleveland Browns / 6th / 204th pick / 2012
100,2012,Ryan Baker,OLB,,LSU,College Stats,11-May,5'11,232,4.8,34,30,113,7.21,4.35,
Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
101,2012,Brandon Lindsey,OLB,,Pittsburgh,College Stats,2-Jun,6'2,254,4.85,33,23,117,7.36,4.28,
102,2012,Tyler Nielsen,OLB,,Iowa,College Stats,3-Jun,6'3,238,4.63,,21,,7.27,4.31,
103,2011,K.J. Wright,OLB,64,Mississippi State,College Stats,3-Jun,6'3,246,4.71,32,20,120,7.26,4.46,Seattle Seahawks / 4th / 99th pick / 2011
104,2011,Lawrence Wilson,OLB,,Connecticut,College Stats,1-Jun,6'1,229,4.71,32.5,24,113,7.31,4.5,Carolina Panthers / 6th / 166th pick / 2011
105,2011,J.T. Thomas,OLB,13,West Virginia,College Stats,1-Jun,6'1,241,4.65,30.5,23,114,7.23,4.28,Chicago Bears / 6th / 195th pick / 2011
106,2011,D.J. Smith,OLB,6,Appalachian State,,11-May,5'11,239,4.71,31,20,104,7.35,4.45,Green Bay Packers / 6th / 186th pick / 2011
107,2011,Brian Rolle,OLB,6,Ohio State,College Stats,10-May,5'10,229,4.53,33,28,115,6.89,4.26,Philadelphia Eagles / 6th / 193rd pick / 2011
108,2011,Brooks Reed,OLB,42,Arizona,College Stats,2-Jun,6'2,263,4.65,30.5,30,113,7.11,4.28,Houston Texans / 2nd / 42nd pick / 2011
109,2011,Jonas Mouton,OLB,0,Michigan,College Stats,1-Jun,6'1,239,4.84,31.5,,115,7.08,4.34,San Diego Chargers / 2nd / 61st pick / 2011
110,2011,Adrian Moten,OLB,1,Maryland,College Stats,2-Jun,6'2,228,4.53,31,18,114,7.05,4.21,
